date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:08:33	848/848	---M--	200	added ('OK')	application/rss+xml	etag:%220b3416bbe8fcb94ba75675ee5a7af6d0%22	http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/index.php/my/2021/11/22/my-proc-lambda/feed/	C:/wunna/innovation/1/rubylearningsite/index.php/my/2021/11/22/my-proc-lambda/feed/index.html	(from http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/index.php/my/2021/11/22/my-proc-lambda/)
11:08:33	155/155	---M--	401	error ('Unauthorized')	text/xml	date:Fri,%2008%20Jul%202022%2002:08:33%20GMT	http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/index.php/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com%2Findex.php%2Fmy%2F2021%2F11%2F22%2Fmy-proc-lambda%2F&format=xml	C:/wunna/innovation/1/rubylearningsite/index.php/wp-json/oembed/1.0/embed1d73	(from http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/index.php/my/2021/11/22/my-proc-lambda/)
11:08:33	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2008%20Jul%202022%2002:08:33%20GMT	http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/?p=1836	C:/wunna/innovation/1/rubylearningsite/index20ad.html	(from http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/index.php/my/2021/11/22/my-proc-lambda/)
11:08:33	96/96	---M--	401	error ('Unauthorized')	application/json	date:Fri,%2008%20Jul%202022%2002:08:33%20GMT	http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/index.php/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com%2Findex.php%2Fmy%2F2021%2F11%2F22%2Fmy-to-proc-method%2F	C:/wunna/innovation/1/rubylearningsite/index.php/wp-json/oembed/1.0/embed86c2	(from http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/index.php/my/2021/11/22/my-to-proc-method/)
11:08:34	870/870	---M--	200	added ('OK')	application/rss+xml	etag:%2284588a18bd725fae5e996e6070700da4%22	http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/index.php/my/2021/11/22/my-to-proc-method/feed/	C:/wunna/innovation/1/rubylearningsite/index.php/my/2021/11/22/my-to-proc-method/feed/index.html	(from http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/index.php/my/2021/11/22/my-to-proc-method/)
11:08:34	155/155	---M--	401	error ('Unauthorized')	text/xml	date:Fri,%2008%20Jul%202022%2002:08:34%20GMT	http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/index.php/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com%2Findex.php%2Fmy%2F2021%2F11%2F22%2Fmy-to-proc-method%2F&format=xml	C:/wunna/innovation/1/rubylearningsite/index.php/wp-json/oembed/1.0/embeddecc	(from http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/index.php/my/2021/11/22/my-to-proc-method/)
11:08:35	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2008%20Jul%202022%2002:08:34%20GMT	http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/?p=1839	C:/wunna/innovation/1/rubylearningsite/index1700.html	(from http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/index.php/my/2021/11/22/my-to-proc-method/)
11:08:39	28284/28284	---MC-	200	added ('OK')	application/rss+xml	etag:%2275ac7c16e892d08401545ff922fbc039%22	http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/index.php/my/author/wunnathaw/feed/	C:/wunna/innovation/1/rubylearningsite/index.php/my/author/wunnathaw/feed/index.html	(from http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/index.php/my/author/wunnathaw/)
11:08:39	39101/39101	---MC-	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2002:08:35%20GMT	http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/index.php/my/author/wunnathaw/page/7/	C:/wunna/innovation/1/rubylearningsite/index.php/my/author/wunnathaw/page/7/index.html	(from http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/index.php/my/author/wunnathaw/)
11:08:40	87598/87598	---MC-	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2002:08:34%20GMT	http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/index.php/my/author/wunnathaw/page/2/	C:/wunna/innovation/1/rubylearningsite/index.php/my/author/wunnathaw/page/2/index.html	(from http://ec2-52-199-252-147.ap-northeast-1.compute.amazonaws.com/index.php/my/author/wunnathaw/)
